CMPLNT_FR_DT,Ethalon,SES,SES_delta,AR,AR_delta,ARMA,ARMA_delta
2012-12-22,1251,1319.0,68.0,1424.0,173.0,1364.0,113.0
2012-12-23,1247,1319.0,72.0,1282.0,35.0,1377.0,130.0
2012-12-24,1036,1319.0,283.0,1292.0,256.0,1381.0,345.0
2012-12-25,789,1319.0,530.0,1309.0,520.0,1383.0,594.0
2012-12-26,1001,1319.0,318.0,1357.0,356.0,1383.0,382.0
2012-12-27,1161,1319.0,158.0,1346.0,185.0,1384.0,223.0
2012-12-28,1325,1319.0,6.0,1402.0,77.0,1384.0,59.0
2012-12-29,1198,1319.0,121.0,1410.0,212.0,1384.0,186.0
2012-12-30,1061,1319.0,258.0,1265.0,204.0,1384.0,323.0
2012-12-31,1196,1319.0,123.0,1276.0,80.0,1384.0,188.0
